fullDate,ClorofA,ClorofTens,CondSpec,LDO,LDOPerc,pH,Redox,TempAcqua,
2020-01-23T00:00:00,4.7,0.08026,431,11.07,89.3,7.69,337,6.84,
2020-01-23T00:15:00,6.4,0.10621,431,11.05,89.2,7.67,337,6.84,
2020-01-23T00:30:00,5.6,0.09457,431,10.97,88.5,7.66,338,6.83,
2020-01-23T00:45:00,4.6,0.07911,431,10.97,88.4,7.7,338,6.82,
2020-01-23T01:00:00,6.1,0.10109,431,10.96,88.3,7.7,339,6.81,
2020-01-23T01:15:00,5.3,0.08908,431,11.02,88.8,7.69,339,6.8,
2020-01-23T01:30:00,4.2,0.07395,431,11.01,88.7,7.69,340,6.79,
2020-01-23T01:45:00,5.7,0.09587,431,11,88.6,7.68,341,6.77,
2020-01-23T02:00:00,5.6,0.09449,431,11.05,88.9,7.25,342,6.75,
2020-01-23T02:15:00,5,0.08442,431,11.02,88.7,6.98,344,6.74,
2020-01-23T02:30:00,5.5,0.09297,431,11.07,89,7.48,345,6.72,
2020-01-23T02:45:00,3.8,0.06796,431,11.06,89,7.64,346,6.71,
2020-01-23T03:00:00,4.3,0.07454,431,10.9,87.6,7.68,347,6.71,
2020-01-23T03:15:00,4.5,0.07755,431,10.91,87.7,7.67,348,6.7,
2020-01-23T03:30:00,4.5,0.07756,432,10.84,87.1,7.66,348,6.67,
2020-01-23T03:45:00,4.6,0.07934,432,10.71,86,7.67,348,6.66,
2020-01-23T04:00:00,5.8,0.09685,432,10.79,86.5,7.67,350,6.62,
2020-01-23T04:15:00,5.1,0.08679,432,10.79,86.5,7.69,350,6.61,
2020-01-23T04:30:00,5.8,0.09642,432,10.87,87.2,7.67,350,6.6,
2020-01-23T04:45:00,4.8,0.08236,432,10.88,87.2,7.7,351,6.58,
2020-01-23T05:00:00,4.9,0.084,432,10.92,87.4,7.7,351,6.57,
2020-01-23T05:15:00,4.2,0.0729,432,10.9,87.4,7.68,351,6.56,
2020-01-23T05:30:00,7.1,0.11631,432,10.87,87,7.69,352,6.54,
2020-01-23T05:45:00,4.3,0.07426,431,10.9,87.2,7.68,352,6.53,
2020-01-23T06:00:00,5.2,0.08809,432,10.83,86.6,7.69,352,6.52,
2020-01-23T06:15:00,5.4,0.09094,432,10.81,86.5,7.69,353,6.5,
2020-01-23T06:30:00,4,0.071,432,10.79,86.2,7.69,353,6.49,
2020-01-23T06:45:00,3.7,0.06584,432,10.71,85.6,7.59,352,6.47,
2020-01-23T07:00:00,3.3,0.06005,432,10.68,85.3,7.68,352,6.47,
2020-01-23T07:15:00,4.3,0.0741,431,10.69,85.4,7.69,353,6.44,
2020-01-23T07:30:00,6.6,0.10873,431,10.67,85.2,7.69,353,6.43,
2020-01-23T07:45:00,4,0.07053,430,10.59,84.5,7.68,353,6.41,
2020-01-23T08:00:00,7.1,0.11554,430,10.53,84,7.63,352,6.38,
2020-01-23T08:15:00,6.4,0.10533,430,10.73,85.6,7.65,350,6.37,
2020-01-23T08:30:00,6.6,0.10892,429,11.14,88.8,7.61,348,6.35,
2020-01-23T08:45:00,7,0.11441,429,11.3,89.9,7.61,347,6.31,
2020-01-23T09:00:00,6.8,0.11209,430,11.34,90.3,7.57,346,6.31,
2020-01-23T09:15:00,6.8,0.11223,430,11.3,90,7.34,346,6.32,
2020-01-23T09:30:00,6.5,0.10683,430,11.39,90.7,7.35,346,6.33,
2020-01-23T09:45:00,6.6,0.10885,431,11.45,91.2,7.34,346,6.34,
2020-01-23T10:00:00,6.7,0.10954,431,11.46,91.3,7.28,347,6.34,
2020-01-23T10:15:00,6.2,0.10277,432,11.38,90.7,7.21,349,6.35,
2020-01-23T10:30:00,5.8,0.09666,432,11.51,91.7,7.58,336,6.34,
2020-01-23T10:45:00,5.2,0.0873,434,11.56,92.1,7.58,327,6.33,
2020-01-23T11:00:00,5.2,0.08871,434,11.56,92.1,7.6,333,6.34,
2020-01-23T11:15:00,4.8,0.08261,435,11.54,92,7.65,332,6.36,
2020-01-23T11:30:00,4.5,0.0776,435,11.44,91.3,7.62,330,6.41,
2020-01-23T11:45:00,4.3,0.07481,434,11.44,91.4,7.64,329,6.46,
2020-01-23T12:00:00,5.2,0.08764,433,11.45,91.7,7.26,330,6.55,
2020-01-23T12:15:00,5.2,0.08872,433,11.59,92.8,7.28,335,6.54,
2020-01-23T12:30:00,4.5,0.07699,433,11.6,92.9,7.36,338,6.53,
2020-01-23T12:45:00,4.7,0.08093,433,11.62,93,7.51,339,6.52,
2020-01-23T13:00:00,4.7,0.08106,434,11.63,93.1,7.59,339,6.54,
2020-01-23T13:15:00,5.5,0.0931,434,11.65,93.3,7.68,336,6.54,
2020-01-23T13:30:00,5.1,0.0867,434,11.76,94.1,7.71,332,6.54,
2020-01-23T13:45:00,4.2,0.07337,434,11.75,94.3,7.73,331,6.65,
2020-01-23T14:00:00,4.4,0.07654,434,11.65,93.7,7.73,330,6.72,
2020-01-23T14:15:00,5.3,0.09016,434,11.65,93.7,7.74,330,6.7,
2020-01-23T14:30:00,5.4,0.09157,434,11.57,93.1,7.73,330,6.75,
2020-01-23T14:45:00,4.5,0.07759,433,11.51,92.7,7.72,330,6.78,
2020-01-23T15:00:00,4.8,0.08177,433,11.51,92.7,7.71,330,6.78,
2020-01-23T15:15:00,4.7,0.08117,433,11.52,92.8,7.74,330,6.8,
2020-01-23T15:30:00,5.2,0.08824,433,11.46,92.4,7.74,330,6.8,
2020-01-23T15:45:00,5.8,0.09656,433,11.48,92.5,7.73,331,6.81,
2020-01-23T16:00:00,6.2,0.10309,433,11.46,92.4,7.73,331,6.81,
2020-01-23T16:15:00,5.1,0.08648,433,11.4,91.9,7.75,333,6.81,
2020-01-23T16:30:00,4.5,0.07766,433,11.4,91.9,7.75,334,6.82,
2020-01-23T16:45:00,5,0.08484,433,11.39,91.8,7.75,337,6.82,
2020-01-23T17:00:00,4.7,0.08002,434,11.42,92,7.75,339,6.8,
2020-01-23T17:15:00,5.5,0.09306,434,11.42,92,7.75,341,6.79,
2020-01-23T17:30:00,5.6,0.0936,434,11.48,92.5,7.76,342,6.78,
2020-01-23T17:45:00,6.3,0.10453,434,11.49,92.5,7.76,343,6.78,
2020-01-23T18:00:00,5.7,0.09555,434,11.53,92.8,7.76,344,6.76,
2020-01-23T18:15:00,6.3,0.10437,434,11.54,92.9,7.77,344,6.74,
2020-01-23T18:30:00,5.3,0.08893,434,11.53,92.8,7.75,345,6.74,
2020-01-23T18:45:00,6.2,0.10245,434,11.5,92.5,7.75,346,6.74,
2020-01-23T19:00:00,5.8,0.097,431,11.41,91.8,7.73,347,6.74,
2020-01-23T19:15:00,5.8,0.09702,431,11.28,90.7,7.71,348,6.73,
2020-01-23T19:30:00,5.8,0.09651,431,11.32,91,7.74,349,6.72,
2020-01-23T19:45:00,5,0.08565,431,11.28,90.7,7.73,349,6.71,
2020-01-23T20:00:00,5.3,0.08936,431,11.29,90.8,7.75,350,6.7,
2020-01-23T20:15:00,4.9,0.08336,431,11.29,90.8,7.73,350,6.69,
2020-01-23T20:30:00,5.4,0.09032,429,11.21,90.1,7.72,351,6.69,
2020-01-23T20:45:00,5,0.08472,429,11.17,89.8,7.73,351,6.7,
2020-01-23T21:00:00,4.8,0.08199,429,11.15,89.6,7.7,352,6.7,
