Date,Clorofilla a,Clorofilla in tensione,Cond. Spec. 25 ｰC,LDO,LDO % Sat,pH,Redox,Temp Acqua,
2019-07-04T00:00:00,32.8,0.55634,371,9.37,118.6,7.86,313,27.31,
2019-07-04T00:15:00,32.7,0.55373,371,9.22,116.8,7.83,315,27.3,
2019-07-04T00:30:00,32,0.54303,369,9.51,120.5,7.87,314,27.29,
2019-07-04T00:45:00,32.3,0.54748,370,9.2,116.5,7.84,315,27.28,
2019-07-04T01:00:00,36.8,0.62236,371,9.1,115.1,7.82,317,27.28,
2019-07-04T01:15:00,33,0.55896,371,9.02,114.1,7.81,319,27.26,
2019-07-04T01:30:00,31.5,0.53386,371,9.13,115.5,7.84,317,27.24,
2019-07-04T01:45:00,28.4,0.48378,371,9.09,114.9,7.84,318,27.22,
2019-07-04T02:00:00,30.8,0.52287,371,9.09,114.9,7.85,319,27.21,
2019-07-04T02:15:00,31.8,0.53904,370,8.95,113.1,7.82,319,27.19,
2019-07-04T02:30:00,32.9,0.55741,369,9.69,122.4,7.89,317,27.18,
2019-07-04T02:45:00,32.6,0.55332,370,9.66,122,7.88,318,27.16,
2019-07-04T03:00:00,31.2,0.5293,370,9.59,121.1,7.88,319,27.14,
2019-07-04T03:15:00,33.5,0.56791,371,9.23,116.6,7.85,320,27.12,
2019-07-04T03:30:00,32.4,0.54938,371,9.26,116.9,7.85,321,27.12,
2019-07-04T03:45:00,32.5,0.55094,371,9.16,115.6,7.85,321,27.1,
2019-07-04T04:00:00,32.1,0.54385,372,9.13,115.2,7.83,322,27.08,
2019-07-04T04:15:00,32.7,0.55525,372,9.02,113.7,7.82,322,27.03,
2019-07-04T04:30:00,33.6,0.56931,372,9.04,113.9,7.83,322,27.04,
2019-07-04T04:45:00,31.9,0.54161,372,9.1,114.7,7.84,322,27.04,
2019-07-04T05:00:00,33.4,0.56547,372,9.16,115.5,7.83,322,27.04,
2019-07-04T05:15:00,33.5,0.56758,373,9.13,115.1,7.83,322,27.02,
2019-07-04T05:30:00,30.4,0.51634,373,9.03,113.8,7.75,225,27.04,
2019-07-04T05:45:00,29.7,0.50442,373,9.26,116.7,7.76,244,27.04,
2019-07-04T06:00:00,28.6,0.48647,373,8.68,109.3,7.76,282,26.98,
2019-07-04T06:15:00,28.7,0.48828,371,8.3,104.4,7.74,296,26.92,
2019-07-04T06:30:00,27.8,0.47273,369,8.44,106.1,7.73,304,26.89,
2019-07-04T06:45:00,27.8,0.47358,369,8.43,105.9,7.73,309,26.87,
2019-07-04T07:00:00,26.9,0.4579,369,7.87,98.8,7.64,313,26.84,
2019-07-04T07:15:00,25.5,0.43472,368,7.68,96.4,7.62,316,26.81,
2019-07-04T07:30:00,25.5,0.43508,367,7.56,94.9,7.6,318,26.79,
2019-07-04T07:45:00,25.1,0.42818,367,7.48,93.9,7.6,317,26.78,
2019-07-04T08:00:00,24.7,0.42178,367,7.67,96.2,7.63,317,26.77,
2019-07-04T08:15:00,23.2,0.39714,366,7.6,95.3,7.61,318,26.74,
2019-07-04T08:30:00,22.8,0.38991,366,8.12,101.8,7.64,316,26.77,
2019-07-04T08:45:00,20.8,0.35688,366,8.09,101.7,7.63,314,26.89,
2019-07-04T09:00:00,20.3,0.34979,366,8.46,106.6,7.75,308,27.01,
2019-07-04T09:15:00,21.9,0.37501,366,9.06,114.3,7.8,304,27.08,
2019-07-04T09:30:00,22.7,0.38932,366,9.5,120.1,7.82,301,27.17,
2019-07-04T09:45:00,21.9,0.37585,365,9.54,120.5,7.83,297,27.2,
2019-07-04T10:00:00,21.1,0.36294,366,9.86,125,7.91,298,27.39,
2019-07-04T10:15:00,19.3,0.33182,366,10.09,128.3,7.93,297,27.52,
2019-07-04T10:30:00,18.8,0.32405,365,10.72,136.7,8.01,293,27.72,
2019-07-04T10:45:00,17.8,0.3075,365,10.58,135.2,7.99,293,27.82,
2019-07-04T11:00:00,20.6,0.35422,362,10.23,130.4,7.93,296,27.69,
2019-07-04T11:15:00,20,0.34344,366,10.12,129.2,7.93,297,27.75,
2019-07-04T11:30:00,30.3,0.5153,365,9.56,121.4,7.85,304,27.5,
2019-07-04T11:45:00,24.4,0.41626,364,10.37,131.9,7.95,303,27.51,
2019-07-04T12:00:00,22.6,0.38767,364,10.43,132.8,7.95,303,27.6,
2019-07-04T12:15:00,23.7,0.40554,365,10.02,127.4,7.9,306,27.52,
2019-07-04T12:30:00,22.6,0.388,365,10.48,133.1,7.98,305,27.44,
2019-07-04T12:45:00,23.2,0.3974,364,11.8,149.9,8.07,300,27.49,
2019-07-04T13:00:00,31.5,0.534,362,12.46,158.3,8.17,293,27.5,
2019-07-04T13:15:00,31.4,0.53229,362,13.12,166.8,8.22,292,27.54,
2019-07-04T13:30:00,33.4,0.56611,362,13.45,170.9,8.22,290,27.52,
2019-07-04T13:45:00,31.7,0.53841,361,13.23,168.1,8.21,292,27.48,
2019-07-04T14:00:00,31.8,0.54018,362,13.17,167.4,8.21,290,27.49,
2019-07-04T14:15:00,31.1,0.52853,363,13.08,166.3,8.2,289,27.55,
2019-07-04T14:30:00,34.9,0.59041,363,12.95,164.5,8.19,290,27.47,
2019-07-04T14:45:00,34.6,0.58639,361,13.67,173.8,8.24,288,27.5,
2019-07-04T15:00:00,33.8,0.5728,362,13.54,172,8.22,288,27.47,
2019-07-04T15:15:00,34.2,0.57978,363,12.8,162.6,8.15,292,27.44,
2019-07-04T15:30:00,33.8,0.5728,363,12.75,161.7,8.17,293,27.39,
2019-07-04T15:45:00,32.3,0.54839,364,12.31,156.3,8.13,293,27.48,
2019-07-04T16:00:00,34.5,0.58477,364,11.59,146.8,8.05,296,27.32,
